"Hero","Total Count","% of games","1st Phase","2nd Phase","3rd Phase","Win %","Total Count","% of games","1st Phase","2nd Phase","3rd Phase","Total","% of games"
"Magnus","44","16.54%","35","6","3","43.18%","163","61.28%","135","22","6","207","77.82%"
"Earth Spirit","93","34.96%","77","16","0","47.31%","113","42.48%","86","20","7","206","77.44%"
"Monkey King","89","33.46%","77","9","3","52.81%","116","43.61%","103","12","1","205","77.07%"
"Lifestealer","90","33.83%","67","20","3","47.78%","111","41.73%","61","46","4","201","75.56%"
"Juggernaut","110","41.35%","62","38","10","50.00%","76","28.57%","13","54","9","186","69.92%"
"Slardar","86","32.33%","70","11","5","56.98%","97","36.47%","85","10","2","183","68.80%"
"Nyx Assassin","52","19.55%","39","11","2","50.00%","130","48.87%","101","19","10","182","68.42%"
"Lina","90","33.83%","49","26","15","44.44%","80","30.08%","25","42","13","170","63.91%"
"Crystal Maiden","138","51.88%","81","51","6","56.52%","12","4.51%","4","7","1","150","56.39%"
"Abaddon","52","19.55%","32","18","2","55.77%","95","35.71%","67","23","5","147","55.26%"
"Invoker","67","25.19%","19","25","23","50.75%","74","27.82%","13","41","20","141","53.01%"
"Legion Commander","77","28.95%","31","38","8","54.55%","62","23.31%","23","31","8","139","52.26%"
"Warlock","88","33.08%","51","33","4","47.73%","49","18.42%","15","25","9","137","51.50%"
"Ursa","49","18.42%","20","27","2","59.18%","88","33.08%","18","50","20","137","51.50%"
"Weaver","49","18.42%","29","15","5","48.98%","72","27.07%","28","31","13","121","45.49%"
"Axe","50","18.80%","23","24","3","52.00%","64","24.06%","22","34","8","114","42.86%"
"Ember Spirit","54","20.30%","9","26","19","55.56%","56","21.05%","8","34","14","110","41.35%"
"Shadow Fiend","55","20.68%","7","34","14","43.64%","53","19.92%","1","28","24","108","40.60%"
"Templar Assassin","40","15.04%","1","17","22","55.00%","68","25.56%","0","49","19","108","40.60%"
"Terrorblade","41","15.41%","4","25","12","51.22%","59","22.18%","1","35","23","100","37.59%"
"Treant Protector","40","15.04%","25","13","2","57.50%","59","22.18%","48","6","5","99","37.22%"
"Vengeful Spirit","58","21.80%","15","33","10","50.00%","36","13.53%","10","21","5","94","35.34%"
"Tinker","24","9.02%","2","8","14","58.33%","69","25.94%","7","38","24","93","34.96%"
"Alchemist","22","8.27%","10","4","8","50.00%","70","26.32%","34","30","6","92","34.59%"
"Outworld Devourer","25","9.40%","1","11","13","40.00%","63","23.68%","0","30","33","88","33.08%"
"Rubick","74","27.82%","28","43","3","48.65%","14","5.26%","2","8","4","88","33.08%"
"Centaur Warrunner","41","15.41%","21","15","5","43.90%","29","10.90%","12","9","8","70","26.32%"
"Sand King","47","17.67%","14","28","5","42.55%","21","7.89%","1","11","9","68","25.56%"
"Riki","24","9.02%","6","16","2","45.83%","39","14.66%","9","26","4","63","23.68%"
"Disruptor","48","18.05%","15","27","6","43.75%","15","5.64%","2","9","4","63","23.68%"
"Silencer","24","9.02%","4","16","4","41.67%","36","13.53%","5","23","8","60","22.56%"
"Storm Spirit","34","12.78%","0","11","23","52.94%","25","9.40%","2","8","15","59","22.18%"
"Puck","33","12.41%","2","14","17","45.45%","22","8.27%","2","6","14","55","20.68%"
"Timbersaw","27","10.15%","1","15","11","59.26%","28","10.53%","5","18","5","55","20.68%"
